formulation,truncation,num_terms,r_te_real,r_te_imag,R_te,r_tm_real,r_tm_imag,R_tm,runtime_seconds
fft,circular,9,-0.8656391885883593,0.25950889042373243,0.8166760690288699,0.7215647264128108,0.30822912291994536,0.6156608466191932,4.369349625998439
fft,circular,21,-0.8719153858840916,0.23797081663744216,0.8168665497124954,0.8324926521419896,-0.09426907191050032,0.7019306737892708,3.2040201099989645
fft,circular,45,-0.8722172990868902,0.2372461037461314,0.8170487305691498,0.5477195966912946,0.6441926821491216,0.7149809683341536,3.1449888259994623
fft,circular,81,-0.8736202059193644,0.2328915048584052,0.8174507172258052,0.8083832156861872,-0.1176514858654773,0.6673252955294953,3.129374205000204
fft,circular,121,-0.8736333350740733,0.232857236099825,0.8174576965566975,0.7349448979669064,0.25419234375853106,0.6047577506730418,3.1126498589983385
fft,circular,177,-0.8737616305196378,0.2324614820666884,0.8174977276129775,0.8244715143976431,0.0491536860516692,0.682169362905609,3.30544288999954
fft,circular,221,-0.8738057384878537,0.23232006355457555,0.8175090805443055,0.7438948723986156,-0.15549714799664832,0.5775589442160441,3.871135378998588
fft,circular,293,-0.8738086819669006,0.2323118711026336,0.8175104181359388,0.7671329720153239,0.23638455400033992,0.6443706541230033,4.626180273997306
fft,circular,357,-0.8738408891716762,0.2322123340921958,0.8175204676928913,0.8051758224313033,0.04522903353043045,0.6503537705020224,5.881805811000959
fft,circular,437,-0.8738529472547191,0.23217401256079406,0.8175237455343387,0.5824606103652789,-0.16928640064535844,0.367918248070554,6.6425408979994245
fft,circular,517,-0.8738541584162484,0.23217051074177725,0.8175242362394674,0.7787899333164463,0.2335217313490648,0.6610461592472997,7.452987240998482
fft,circular,621,-0.873870231008542,0.23212048561806597,0.8175291004864893,0.3835765497942669,0.06778691446519469,0.15172603532478532,10.39674175899927
fft,circular,733,-0.8738708900432872,0.23211853714107653,0.8175293477495603,0.7954187397664434,0.22832435137981902,0.6848229810046521,13.570466434000991
fft,circular,845,-0.8738761916367321,0.232102124295433,0.8175309944119713,0.7530982322488562,0.08558965947508093,0.5744825372254124,15.839464651999151
fft,parallelogramic,9,-0.8656391885883593,0.25950889042373243,0.8166760690288699,0.7215647264128108,0.30822912291994536,0.6156608466191932,0.1433426489966223
fft,parallelogramic,25,-0.8719153858840916,0.23797081663744216,0.8168665497124954,0.8324926521419856,-0.09426907191049783,0.7019306737892638,2.7650193869994837
fft,parallelogramic,49,-0.8722172990868903,0.23724610374613397,0.8170487305691512,0.5477195966912934,0.6441926821491253,0.7149809683341571,2.837497896001878
fft,parallelogramic,81,-0.8733487847324028,0.2337794242014022,0.8173909189735041,0.8302228611040443,0.08158849657413589,0.695926681873013,0.3172136530010903
fft,parallelogramic,121,-0.8736202059193118,0.23289150485846974,0.8174507172257434,0.8083832156861974,-0.11765148586547208,0.6673252955295106,0.4893961140005558
fft,parallelogramic,169,-0.873633335074094,0.2328572360998322,0.8174576965567373,0.7349448979669098,0.25419234375851923,0.6047577506730406,3.4523398819983413
fft,parallelogramic,225,-0.873761630519607,0.23246148206672035,0.8174977276129383,0.8244715143977255,0.0491536860519633,0.6821693629057738,4.001145736998296
fft,parallelogramic,289,-0.873805738488139,0.2323200635547327,0.817509080544877,0.7438948723989732,-0.15549714799615882,0.5775589442164241,4.58896213099797
fft,parallelogramic,361,-0.8738086819669486,0.23231187110279694,0.8175104181360984,0.767132972015305,0.23638455400017433,0.6443706541228961,5.270004115998745
fft,parallelogramic,441,-0.8738408891716103,0.23221233409260222,0.8175204676929647,0.8051758224314227,0.045229033530353235,0.6503537705022078,6.922562708998157
fft,parallelogramic,529,-0.8738529472547802,0.23217401256032968,0.8175237455342299,0.5824606103645884,-0.16928640064588854,0.36791824806992923,8.11377912700118
fft,parallelogramic,625,-0.8738541584154558,0.23217051074205056,0.8175242362382091,0.7787899333164814,0.2335217313490689,0.6610461592473562,9.90373135000118
fft,parallelogramic,729,-0.8738658919607225,0.23213421009237542,0.8175278886275201,0.7782509278244369,0.05638995209912512,0.6088543333573386,13.340328605998366
fft,parallelogramic,841,-0.8738702310087683,0.23212048561703708,0.8175291004864071,0.3835765497946987,0.06778691446507107,0.15172603532509982,15.626494689997344
